Data,Seguidores
10/06/2022,28767
13/06/2022,28653
14/06/2022,28605
17/06/2022,28544
20/06/2022,28419
21/06/2022,28395
23/06/2022,28330
27/06/2022,28193
28/06/2022,28151
30/06/2022,28065
04/07/2022,27967
05/07/2022,27917
07/07/2022,27847
08/07/2022,27829
11/07/2022,27741
12/07/2022,27715
14/07/2022,27661
15/07/2022,27646
18/07/2022,27580
19/07/2022,27544
21/07/2022,27490
22/07/2022,27459
26/07/2022,27360
24/08/2022,26603
25/08/2022,26593
26/08/2022,26575
31/08/2022,26489
09/09/2022,26234
20/09/2022,25730
21/09/2022,25704
22/09/2022,25697
23/09/2022,25644
26/09/2022,25514
27/09/2022,25487
28/09/2022,25461
29/09/2022,25438
04/10/2022,25447
05/10/2022,25441
12/10/2022,25412
13/10/2022,25372
14/10/2022,25335
17/10/2022,25242
19/10/2022,25176
20/10/2022,25154
24/10/2022,25069
25/10/2022,25034
26/10/2022,24994
27/10/2022,24987
28/10/2022,24955
30/10/2022,25557
21/02/2023,25291
22/02/2023,25272
23/02/2023,25250
02/03/2023,25231
09/03/2023,25073
14/03/2023,24930
21/03/2023,24760
23/03/2023,24719
28/03/2023,24597
30/03/2023,24690
04/04/2023,24612
06/04/2023,24573
12/04/2023,24449
27/04/2023,24196
23/05/2023,24476
25/05/2023,24451
30/05/2023,24376
31/05/2023,24359
06/06/2023,24244
13/06/2023,24126
14/06/2023,24116
22/06/2023,24047
27/06/2023,25400
05/07/2023,25195
06/07/2023,25164
11/07/2023,25046
13/07/2023,25039
14/07/2023,25023
19/07/2023,24973
20/07/2023,24946
26/07/2023,24828
02/08/2023,24695
10/08/2023,24555
15/08/2023,24451
24/08/2023,24307
01/09/2023,24276
